INFO 2026-02-26 16:36:43,818 middleware 20345 131569635288768 Request: POST /admin/login/ from 127.0.0.1
INFO 2026-02-26 16:36:44,541 middleware 20345 131569635288768 Response: POST /admin/login/ [200] - 0.723s
INFO 2026-02-26 16:37:11,601 middleware 20345 131569635288768 Request: POST /admin/login/ from 127.0.0.1
INFO 2026-02-26 16:37:12,339 middleware 20345 131569635288768 Response: POST /admin/login/ [200] - 0.738s
INFO 2026-02-26 16:37:49,370 middleware 20345 131569635288768 Request: POST /admin/login/ from 127.0.0.1
INFO 2026-02-26 16:37:50,109 middleware 20345 131569635288768 Response: POST /admin/login/ [200] - 0.739s
INFO 2026-02-26 16:39:29,957 middleware 20982 135033412118208 Request: POST /admin/login/ from 127.0.0.1
INFO 2026-02-26 16:39:30,747 middleware 20982 135033412118208 Response: POST /admin/login/ [200] - 0.790s
INFO 2026-02-26 16:39:37,138 middleware 20982 135033412118208 Request: POST /admin/login/ from 127.0.0.1
INFO 2026-02-26 16:39:37,872 middleware 20982 135033412118208 Response: POST /admin/login/ [302] - 0.734s
INFO 2026-02-26 16:39:37,885 middleware 20982 135033412118208 Request: GET /admin/ from 127.0.0.1
INFO 2026-02-26 16:39:37,931 middleware 20982 135033412118208 Response: GET /admin/ [200] - 0.045s
INFO 2026-02-26 16:40:43,384 middleware 21185 128625827374784 Request: GET /admin/ from 127.0.0.1
INFO 2026-02-26 16:40:43,507 middleware 21185 128625827374784 Response: GET /admin/ [200] - 0.124s
INFO 2026-04-05 14:27:54,798 middleware 15178 126806947694272 Request: GET / from 127.0.0.1
INFO 2026-04-05 14:27:54,862 middleware 15178 126806947694272 Response: GET / [404] - 0.063s
WARNING 2026-04-05 14:27:54,862 log 15178 126806947694272 Not Found: /
WARNING 2026-04-05 14:27:54,863 basehttp 15178 126806947694272 "GET / HTTP/1.1" 404 3810
INFO 2026-04-05 14:27:55,191 middleware 15178 126806947694272 Request: GET /favicon.ico from 127.0.0.1
INFO 2026-04-05 14:27:55,215 middleware 15178 126806947694272 Response: GET /favicon.ico [404] - 0.024s
WARNING 2026-04-05 14:27:55,220 log 15178 126806947694272 Not Found: /favicon.ico
WARNING 2026-04-05 14:27:55,220 basehttp 15178 126806947694272 "GET /favicon.ico HTTP/1.1" 404 3861
INFO 2026-04-26 10:38:17,512 middleware 22227 130937562064576 Request: GET / from 127.0.0.1
INFO 2026-04-26 10:38:17,559 middleware 22227 130937562064576 Response: GET / [404] - 0.047s
WARNING 2026-04-26 10:38:17,559 log 22227 130937562064576 Not Found: /
WARNING 2026-04-26 10:38:17,560 basehttp 22227 130937562064576 "GET / HTTP/1.1" 404 3810
INFO 2026-04-26 10:38:17,963 middleware 22227 130937562064576 Request: GET /favicon.ico from 127.0.0.1
INFO 2026-04-26 10:38:17,979 middleware 22227 130937562064576 Response: GET /favicon.ico [404] - 0.016s
WARNING 2026-04-26 10:38:17,980 log 22227 130937562064576 Not Found: /favicon.ico
WARNING 2026-04-26 10:38:17,981 basehttp 22227 130937562064576 "GET /favicon.ico HTTP/1.1" 404 3861
INFO 2026-04-26 10:38:20,784 middleware 22227 130937562064576 Request: GET /admin/ from 127.0.0.1
INFO 2026-04-26 10:38:20,846 middleware 22227 130937562064576 Response: GET /admin/ [302] - 0.061s
INFO 2026-04-26 10:38:20,874 middleware 22227 130937562064576 Request: GET /admin/login/ from 127.0.0.1
INFO 2026-04-26 10:38:20,918 middleware 22227 130937562064576 Response: GET /admin/login/ [200] - 0.044s
INFO 2026-04-26 10:38:30,167 middleware 22227 130937562064576 Request: POST /admin/login/ from 127.0.0.1
INFO 2026-04-26 10:38:30,897 middleware 22227 130937562064576 Response: POST /admin/login/ [302] - 0.730s
INFO 2026-04-26 10:38:30,910 middleware 22227 130937562064576 Request: GET /admin/ from 127.0.0.1
INFO 2026-04-26 10:38:30,971 middleware 22227 130937562064576 Response: GET /admin/ [200] - 0.060s
INFO 2026-04-26 12:55:31,137 middleware 23426 129212480485056 Request: GET / from 127.0.0.1
INFO 2026-04-26 12:55:31,218 middleware 23426 129212480485056 Response: GET / [404] - 0.081s
WARNING 2026-04-26 12:55:31,219 log 23426 129212480485056 Not Found: /
WARNING 2026-04-26 12:55:31,220 basehttp 23426 129212480485056 "GET / HTTP/1.1" 404 3810
INFO 2026-04-26 12:58:18,681 middleware 23426 129212472092352 Request: POST /api/auth/register/ from 127.0.0.1
ERROR 2026-04-26 12:58:18,684 exceptions 23426 129212472092352 Exception occurred: Authentication credentials were not provided.
Traceback (most recent call last):
  File "/home/salman/FYP/Backend/env/lib/python3.12/site-packages/rest_framework/views.py", line 497, in dispatch
    self.initial(request, *args, **kwargs)
  File "/home/salman/FYP/Backend/env/lib/python3.12/site-packages/rest_framework/views.py", line 415, in initial
    self.check_permissions(request)
  File "/home/salman/FYP/Backend/env/lib/python3.12/site-packages/rest_framework/views.py", line 333, in check_permissions
    self.permission_denied(
  File "/home/salman/FYP/Backend/env/lib/python3.12/site-packages/rest_framework/views.py", line 174, in permission_denied
    raise exceptions.NotAuthenticated()
rest_framework.exceptions.NotAuthenticated: Authentication credentials were not provided.
INFO 2026-04-26 12:58:18,685 middleware 23426 129212472092352 Response: POST /api/auth/register/ [401] - 0.004s
WARNING 2026-04-26 12:58:18,686 log 23426 129212472092352 Unauthorized: /api/auth/register/
WARNING 2026-04-26 12:58:18,686 basehttp 23426 129212472092352 "POST /api/auth/register/ HTTP/1.1" 401 132
INFO 2026-04-26 12:58:33,198 middleware 23426 129212472092352 Request: POST /api/auth/register/ from 127.0.0.1
ERROR 2026-04-26 12:58:33,198 exceptions 23426 129212472092352 Exception occurred: Authentication credentials were not provided.
Traceback (most recent call last):
  File "/home/salman/FYP/Backend/env/lib/python3.12/site-packages/rest_framework/views.py", line 497, in dispatch
    self.initial(request, *args, **kwargs)
  File "/home/salman/FYP/Backend/env/lib/python3.12/site-packages/rest_framework/views.py", line 415, in initial
    self.check_permissions(request)
  File "/home/salman/FYP/Backend/env/lib/python3.12/site-packages/rest_framework/views.py", line 333, in check_permissions
    self.permission_denied(
  File "/home/salman/FYP/Backend/env/lib/python3.12/site-packages/rest_framework/views.py", line 174, in permission_denied
    raise exceptions.NotAuthenticated()
rest_framework.exceptions.NotAuthenticated: Authentication credentials were not provided.
INFO 2026-04-26 12:58:33,199 middleware 23426 129212472092352 Response: POST /api/auth/register/ [401] - 0.002s
WARNING 2026-04-26 12:58:33,200 log 23426 129212472092352 Unauthorized: /api/auth/register/
